0253445063,SOCIETE FEDERALE DE PARTICIPATIONS ET D'INVESTISSEMENT - FEDERALE PARTICIPATIE- EN INVESTERINGSMAATSCHAPPIJ,0418217577,SA Société Nationale de Construction Aérospatiale,UPE
0253445063,SOCIETE FEDERALE DE PARTICIPATIONS ET D'INVESTISSEMENT - FEDERALE PARTICIPATIE- EN INVESTERINGSMAATSCHAPPIJ,0432618812,SA SAFRAN AERO BOOSTER,UPE
0253445063,SOCIETE FEDERALE DE PARTICIPATIONS ET D'INVESTISSEMENT - FEDERALE PARTICIPATIE- EN INVESTERINGSMAATSCHAPPIJ,0890082292,NV BRUSSELS AIRPORT COMPANY,UPE
0253445063,SOCIETE FEDERALE DE PARTICIPATIONS ET D'INVESTISSEMENT - FEDERALE PARTICIPATIE- EN INVESTERINGSMAATSCHAPPIJ,0411892088,SBI-BMI SA,CONSO
0253445063,SOCIETE FEDERALE DE PARTICIPATIONS ET D'INVESTISSEMENT - FEDERALE PARTICIPATIE- EN INVESTERINGSMAATSCHAPPIJ,0867095371,FIF-FSI SA,CONSO
0253445063,SOCIETE FEDERALE DE PARTICIPATIONS ET D'INVESTISSEMENT - FEDERALE PARTICIPATIE- EN INVESTERINGSMAATSCHAPPIJ,0867141297,PALAIS DES CONGRES - CONGRESPALEIS SA,CONSO
0253445063,SOCIETE FEDERALE DE PARTICIPATIONS ET D'INVESTISSEMENT - FEDERALE PARTICIPATIE- EN INVESTERINGSMAATSCHAPPIJ,0890159991,CERTI-FED SA,CONSO
0253445063,SOCIETE FEDERALE DE PARTICIPATIONS ET D'INVESTISSEMENT - FEDERALE PARTICIPATIE- EN INVESTERINGSMAATSCHAPPIJ,0890975484,KASTEEL CANTECROY BEHEER SA,CONSO
0418217577,Société Nationale de Construction Aérospatiale,0444302758,HOMIFREEZ,CONSO
0418217577,Société Nationale de Construction Aérospatiale,0631792672,SONACA VENTURES HOLDING,CONSO
0418217577,Société Nationale de Construction Aérospatiale,0637867149,SONACA AIRCRAFT,CONSO
0890082292,BRUSSELS AIRPORT COMPANY,0700664949,Cargo & Logistics Real Estate NV,CONSO
0890082292,BRUSSELS AIRPORT COMPANY,0863269712,DNB BA,CONSO
